Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
1,B1 SH,SHRIMPLIN,2840,107.77,0.713,1.8,19.545,4.0,1,1
1,B1 SH,SHRIMPLIN,2840.5,110.87,0.686,6.0,26.65,3.3,1,0.974
1,B1 SH,SHRIMPLIN,2841,106.33,0.665,8.6,26.94,2.8,1,0.949
1,B1 SH,SHRIMPLIN,2841.5,87.85,0.64,9.6,21.77,2.7,1,0.923
1,B1 SH,SHRIMPLIN,2842,80.96,0.601,9.0,15.99,2.9,1,0.897
0,B1 SH,SHRIMPLIN,2842.5,66.94,0.568,11.2,12.565,3.5,1,0.872
0,B1 SH,SHRIMPLIN,2843,61.48,0.561,12.0,11.69,4.2,1,0.846
0,B1 SH,SHRIMPLIN,2843.5,58.26,0.568,12.4,12.285,4.2,1,0.821
0,B1 SH,SHRIMPLIN,2844,51.31,0.585,12.7,11.735,3.9,1,0.795
0,B1 SH,SHRIMPLIN,2844.5,67.92,0.583,13.2,11.73,3.9,1,0.769
0,B1 SH,SHRIMPLIN,2845,67.77,0.566,14.1,12.475,3.9,1,0.744
0,B1 SH,SHRIMPLIN,2845.5,67.73,0.543,14.4,13.095,3.8,1,0.718
0,B1 SH,SHRIMPLIN,2846,68.85,0.516,12.1,13.35,3.7,1,0.692
0,B1 SH,SHRIMPLIN,2846.5,73.2,0.496,9.7,15.12,3.6,1,0.667
1,B1 SH,SHRIMPLIN,2847,84.46,0.486,6.1,20.48,3.6,1,0.641
1,B1 SH,SHRIMPLIN,2847.5,96.96,0.483,7.0,23.225,3.4,1,0.615
1,B1 SH,SHRIMPLIN,2848,95.54,0.486,9.4,21.305,3.5,1,0.59
1,B1 SH,SHRIMPLIN,2848.5,88.67,0.493,13.2,17.235,3.4,1,0.564
1,B1 SH,SHRIMPLIN,2849,88.54,0.501,13.1,16.71,3.5,1,0.538
1,B1 SH,SHRIMPLIN,2849.5,92.22,0.501,11.2,18.675,3.5,1,0.513
0,B1 SH,SHRIMPLIN,2850,89.67,0.491,4.9,20.405,3.3,1,0.487
0,B1 SH,SHRIMPLIN,2850.5,91.17,0.47,2.2,20.3,3.1,1,0.462
0,B1 SH,SHRIMPLIN,2851,83.62,0.435,5.1,17.16,2.8,1,0.436
0,B1 SH,SHRIMPLIN,2851.5,85,0.401,8.3,15.87,2.8,1,0.41
0,B1 SH,SHRIMPLIN,2852,77.7,0.371,7.5,16.85,2.9,1,0.385
0,B1 SH,SHRIMPLIN,2852.5,74.29,0.334,6.1,17.3,2.9,1,0.359
0,B1 SH,SHRIMPLIN,2853,70.21,0.307,5.4,17.57,2.9,1,0.333
0,B1 SH,SHRIMPLIN,2853.5,76.38,0.297,4.7,17.195,3.0,1,0.308
0,B1 SH,SHRIMPLIN,2854,76.28,0.301,4.4,16.415,3.0,1,0.282
0,B1 SH,SHRIMPLIN,2854.5,69.04,0.314,4.1,14.19,3.2,1,0.256
0,B1 SH,SHRIMPLIN,2855,78.11,0.338,5.8,13.25,3.4,1,0.231
1,B1 SH,SHRIMPLIN,2855.5,84.18,0.377,6.8,15.72,3.8,1,0.205
1,B1 SH,SHRIMPLIN,2856,85.85,0.428,6.6,20.045,3.5,1,0.179
1,B1 SH,SHRIMPLIN,2856.5,89.6,0.47,4.4,20.455,3.3,1,0.154
1,B1 SH,SHRIMPLIN,2857,80.61,0.509,3.6,16.78,3.1,1,0.128
1,B1 SH,SHRIMPLIN,2857.5,79.36,0.539,7.5,11.78,3.3,1,0.103
1,B1 SH,SHRIMPLIN,2858,83.05,0.548,8.1,14.545,3.7,1,0.077
1,B1 SH,SHRIMPLIN,2858.5,95,0.556,9.2,23.83,3.6,1,0.051
1,B2 SH,SHRIMPLIN,2868,67.55,0.966,4.2,5.13,5.1,1,1
1,B2 SH,SHRIMPLIN,2868.5,73.99,0.862,6.1,7.84,4.6,1,0.964
1,B2 SH,SHRIMPLIN,2869,83.09,0.806,9.4,11.2,3.9,1,0.929
1,B2 SH,SHRIMPLIN,2869.5,97.28,0.763,10.5,13.97,3.6,1,0.893
0,B2 SH,SHRIMPLIN,2870,95.16,0.714,9.6,12.96,3.4,1,0.857
0,B2 SH,SHRIMPLIN,2870.5,79.88,0.661,8.6,10.425,3.3,1,0.821
0,B2 SH,SHRIMPLIN,2871,76.38,0.602,8.9,8.785,3.5,1,0.786
0,B2 SH,SHRIMPLIN,2871.5,75.68,0.561,11.4,10.305,3.6,1,0.75
0,B2 SH,SHRIMPLIN,2872,84.59,0.537,13.4,13.745,3.9,1,0.714
1,B2 SH,SHRIMPLIN,2872.5,103.43,0.525,14.6,16.66,3.9,1,0.679
1,B2 SH,SHRIMPLIN,2873,103.41,0.522,14.7,17.625,3.9,1,0.643
1,B2 SH,SHRIMPLIN,2873.5,99.27,0.52,13.0,16.245,3.8,1,0.607
1,B2 SH,SHRIMPLIN,2874,92.94,0.516,12.1,14.85,3.7,1,0.571
1,B2 SH,SHRIMPLIN,2874.5,92.9,0.507,11.4,13.27,3.8,1,0.536
1,B2 SH,SHRIMPLIN,2875,80.32,0.504,11.0,12.48,3.7,1,0.5
0,B2 SH,SHRIMPLIN,2875.5,83.63,0.512,10.1,11.525,4.0,1,0.464
0,B2 SH,SHRIMPLIN,2876,67.81,0.529,9.4,11.31,4.1,1,0.429
0,B2 SH,SHRIMPLIN,2876.5,67.88,0.559,9.7,10.865,4.3,1,0.393
0,B2 SH,SHRIMPLIN,2877,64.39,0.589,8.4,10.365,4.4,1,0.357
0,B2 SH,SHRIMPLIN,2877.5,61.99,0.604,6.9,9.385,4.4,1,0.321
0,B2 SH,SHRIMPLIN,2878,62.5,0.604,5.5,8.53,4.3,1,0.286
0,B2 SH,SHRIMPLIN,2878.5,58.64,0.58,5.3,8.6,4.2,1,0.25
0,B2 SH,SHRIMPLIN,2879,64.04,0.543,5.7,9.98,4.0,1,0.214
0,B2 SH,SHRIMPLIN,2879.5,78.8,0.519,5.4,13.745,3.7,1,0.179
1,B2 SH,SHRIMPLIN,2880,78.88,0.502,2.0,21.885,3.7,1,0.143
1,B2 SH,SHRIMPLIN,2880.5,86.88,0.5,-3.8,33.79,3.2,1,0.107
1,B2 SH,SHRIMPLIN,2881,83.97,0.519,-2.0,37.47,3.0,1,0.071
1,B2 SH,SHRIMPLIN,2881.5,70.01,0.543,-4.3,31.57,2.8,1,0.036
0,B3 SH,SHRIMPLIN,2890,60.63,0.74,9.1,9.33,4.7,1,1
0,B3 SH,SHRIMPLIN,2890.5,83.69,0.684,12.4,11.31,4.0,1,0.967
0,B3 SH,SHRIMPLIN,2891,87.3,0.648,13.7,11.975,3.6,1,0.933
0,B3 SH,SHRIMPLIN,2891.5,89.07,0.619,13.7,12.065,3.6,1,0.9
0,B3 SH,SHRIMPLIN,2892,91.06,0.584,12.9,12.21,3.7,1,0.867
0,B3 SH,SHRIMPLIN,2892.5,98.37,0.559,12.0,12.485,3.7,1,0.833
0,B3 SH,SHRIMPLIN,2893,87.1,0.548,11.3,12.23,3.7,1,0.8
0,B3 SH,SHRIMPLIN,2893.5,83.81,0.542,10.9,11.67,3.5,1,0.767
0,B3 SH,SHRIMPLIN,2894,83.11,0.535,10.4,11.96,3.4,1,0.733
0,B3 SH,SHRIMPLIN,2894.5,85.4,0.529,11.1,13.05,3.3,1,0.7
0,B3 SH,SHRIMPLIN,2895,86.83,0.524,11.5,13.735,3.3,1,0.667
0,B3 SH,SHRIMPLIN,2895.5,80.54,0.515,11.2,13.6,3.3,1,0.633
0,B3 SH,SHRIMPLIN,2896,77.67,0.501,10.3,12.905,3.2,1,0.6
0,B3 SH,SHRIMPLIN,2896.5,74.74,0.489,8.9,12.575,3.3,1,0.567
0,B3 SH,SHRIMPLIN,2897,75.06,0.481,8.8,12.305,3.2,1,0.533
0,B3 SH,SHRIMPLIN,2897.5,76.98,0.477,8.3,12.35,3.2,1,0.5
0,B3 SH,SHRIMPLIN,2898,79.6,0.471,8.5,12.855,3.2,1,0.467
0,B3 SH,SHRIMPLIN,2898.5,92.95,0.467,8.6,14.3,3.3,1,0.433
0,B3 SH,SHRIMPLIN,2899,94.25,0.467,9.0,14.21,3.3,1,0.4
0,B3 SH,SHRIMPLIN,2899.5,83.12,0.467,9.1,13.64,3.3,1,0.367
0,B3 SH,SHRIMPLIN,2900,75.02,0.471,9.2,12.5,3.4,1,0.333
0,B3 SH,SHRIMPLIN,2900.5,62.61,0.48,8.7,11.92,3.3,1,0.3
0,B3 SH,SHRIMPLIN,2901,68.47,0.487,8.2,11.635,3.3,1,0.267
0,B3 SH,SHRIMPLIN,2901.5,69.58,0.484,7.3,11.265,3.3,1,0.233
0,B3 SH,SHRIMPLIN,2902,76.05,0.479,7.5,11.375,3.5,1,0.2
0,B3 SH,SHRIMPLIN,2902.5,89.53,0.471,8.4,12.285,3.5,1,0.167
1,B3 SH,SHRIMPLIN,2903,97.25,0.464,9.1,15.135,3.5,1,0.133
1,B3 SH,SHRIMPLIN,2903.5,95.12,0.474,8.1,21.93,3.5,1,0.1
1,B3 SH,SHRIMPLIN,2904,91.67,0.501,6.4,26.715,3.3,1,0.067
1,B3 SH,SHRIMPLIN,2904.5,85.15,0.521,3.7,25.875,3.2,1,0.033
0,B4 SH,SHRIMPLIN,2911,54.3,0.48,5.7,11.865,5.1,1,1
0,B4 SH,SHRIMPLIN,2911.5,77.86,0.493,8.0,11.795,4.0,1,0.966
0,B4 SH,SHRIMPLIN,2912,81.08,0.496,8.6,11.345,3.6,1,0.931
0,B4 SH,SHRIMPLIN,2912.5,64.84,0.489,6.8,10.6,3.3,1,0.897
0,B4 SH,SHRIMPLIN,2913,68.3,0.476,6.3,10.89,3.5,1,0.862
0,B4 SH,SHRIMPLIN,2913.5,62.2,0.456,6.0,11.805,3.4,1,0.828
0,B4 SH,SHRIMPLIN,2914,62.13,0.447,6.8,12.205,3.4,1,0.793
0,B4 SH,SHRIMPLIN,2914.5,59.9,0.447,7.5,12.495,3.4,1,0.759
0,B4 SH,SHRIMPLIN,2915,66.76,0.446,7.6,12.57,3.3,1,0.724
0,B4 SH,SHRIMPLIN,2915.5,68.75,0.441,8.4,12.535,3.4,1,0.69
0,B4 SH,SHRIMPLIN,2916,89.47,0.431,10.0,13.055,3.3,1,0.655
0,B4 SH,SHRIMPLIN,2916.5,92.28,0.42,12.3,14.46,3.3,1,0.621
0,B4 SH,SHRIMPLIN,2917,89.52,0.41,13.6,15.78,3.2,1,0.586
0,B4 SH,SHRIMPLIN,2917.5,72.44,0.401,11.6,15.58,3.3,1,0.552
0,B4 SH,SHRIMPLIN,2918,65.12,0.389,10.4,15.095,3.2,1,0.517
0,B4 SH,SHRIMPLIN,2918.5,61.43,0.375,7.4,14.62,3.2,1,0.483
0,B4 SH,SHRIMPLIN,2919,64.01,0.362,6.4,15.335,3.0,1,0.448
0,B4 SH,SHRIMPLIN,2919.5,60.03,0.354,4.5,15,3.0,1,0.414
0,B4 SH,SHRIMPLIN,2920,66.07,0.348,4.4,14.44,3.1,1,0.379
0,B4 SH,SHRIMPLIN,2920.5,74.64,0.344,5.0,13.845,3.2,1,0.345
0,B4 SH,SHRIMPLIN,2921,76.08,0.344,5.9,14.19,3.3,1,0.31
0,B4 SH,SHRIMPLIN,2921.5,77.9,0.35,6.8,14.375,3.3,1,0.276
0,B4 SH,SHRIMPLIN,2922,90.26,0.354,7.1,14.075,3.2,1,0.241
0,B4 SH,SHRIMPLIN,2922.5,100.24,0.362,6.9,13.22,3.2,1,0.207
0,B4 SH,SHRIMPLIN,2923,104.57,0.367,8.0,14.63,3.2,1,0.172
0,B4 SH,SHRIMPLIN,2923.5,117.83,0.382,8.6,18.955,3.4,1,0.138
0,B4 SH,SHRIMPLIN,2924,119.71,0.403,12.2,24.86,3.5,1,0.103
0,B4 SH,SHRIMPLIN,2924.5,114.49,0.436,13.7,26.24,3.2,1,0.069
0,B4 SH,SHRIMPLIN,2925,76.16,0.473,12.7,21.64,3.1,1,0.034
1,B5 SH,SHRIMPLIN,2930,54.96,0.602,7.3,10.27,4.2,1,1
1,B5 SH,SHRIMPLIN,2930.5,68.62,0.55,9.9,13.345,3.6,1,0.941
0,B5 SH,SHRIMPLIN,2931,84.84,0.507,11.0,14.745,3.1,1,0.882
0,B5 SH,SHRIMPLIN,2931.5,82.8,0.462,11.9,16.365,3.2,1,0.824
1,B5 SH,SHRIMPLIN,2932,95.56,0.425,11.0,18.035,3.4,1,0.765
1,B5 SH,SHRIMPLIN,2932.5,106.29,0.401,8.4,21.3,3.2,1,0.706
1,B5 SH,SHRIMPLIN,2933,95.11,0.394,7.8,21.825,3.2,1,0.647
1,B5 SH,SHRIMPLIN,2933.5,96.55,0.391,8.2,20.44,3.1,1,0.588
1,B5 SH,SHRIMPLIN,2934,92.19,0.391,11.1,17.735,3.3,1,0.529
1,B5 SH,SHRIMPLIN,2934.5,100.17,0.391,11.6,18.11,3.2,1,0.471
1,B5 SH,SHRIMPLIN,2935,101.7,0.387,11.9,19.115,3.2,1,0.412
1,B5 SH,SHRIMPLIN,2935.5,100.5,0.38,13.8,18.12,3.2,1,0.353
1,B5 SH,SHRIMPLIN,2936,102.07,0.369,15.5,17.425,3.4,1,0.294
1,B5 SH,SHRIMPLIN,2936.5,109.83,0.358,15.2,18.72,3.7,1,0.235
1,B5 SH,SHRIMPLIN,2937,118.17,0.354,18.5,21.295,3.9,1,0.176
1,B5 SH,SHRIMPLIN,2937.5,119.16,0.358,17.9,24.97,3.8,1,0.118
1,C SH,SHRIMPLIN,2948.5,130.95,0.545,6.2,12.17,4.2,1,1
1,C SH,SHRIMPLIN,2949,127.25,0.519,7.5,17.585,3.6,1,0.982
1,C SH,SHRIMPLIN,2949.5,115.33,0.484,10.4,20.065,3.3,1,0.965
1,C SH,SHRIMPLIN,2950,110.37,0.453,13.2,19.63,3.2,1,0.947
1,C SH,SHRIMPLIN,2950.5,95.97,0.433,12.9,17.945,3.2,1,0.93
1,C SH,SHRIMPLIN,2951,92.1,0.415,14.9,17.19,3.5,1,0.912
1,C SH,SHRIMPLIN,2951.5,92.33,0.401,14.7,16.855,3.6,1,0.895
1,C SH,SHRIMPLIN,2952,84.32,0.401,14.9,17.04,3.7,1,0.877
1,C SH,SHRIMPLIN,2952.5,85.93,0.405,14.1,16.725,3.7,1,0.86
1,C SH,SHRIMPLIN,2953,86.15,0.41,13.5,16.505,3.7,1,0.842
1,C SH,SHRIMPLIN,2953.5,87.94,0.418,13.6,16.735,3.6,1,0.825
1,C SH,SHRIMPLIN,2954,86.68,0.425,14.1,16.94,3.6,1,0.807
1,C SH,SHRIMPLIN,2954.5,85.31,0.431,14.7,17.845,3.5,1,0.789
1,C SH,SHRIMPLIN,2955,86.99,0.441,13.9,18.455,3.5,1,0.772
1,C SH,SHRIMPLIN,2955.5,88.41,0.456,13.4,18.05,3.6,1,0.754
1,C SH,SHRIMPLIN,2956,85.73,0.471,13.6,15.635,3.8,1,0.737
1,C SH,SHRIMPLIN,2956.5,79.97,0.48,13.1,13.72,4.1,1,0.719
1,C SH,SHRIMPLIN,2957,72.32,0.489,13.4,13.05,4.3,1,0.702
1,C SH,SHRIMPLIN,2957.5,69.7,0.496,13.0,13.785,4.2,1,0.684
1,C SH,SHRIMPLIN,2958,78.44,0.504,13.5,13.815,4.1,1,0.667
1,C SH,SHRIMPLIN,2958.5,82.19,0.509,12.2,14.275,4.0,1,0.649
1,C SH,SHRIMPLIN,2959,85.45,0.509,12.6,15.215,4.0,1,0.632
1,C SH,SHRIMPLIN,2959.5,92.63,0.508,13.7,16.465,3.9,1,0.614
1,C SH,SHRIMPLIN,2960,88.92,0.507,14.6,16.885,3.9,1,0.596
1,C SH,SHRIMPLIN,2960.5,90.45,0.505,13.7,16.3,3.8,1,0.579
1,C SH,SHRIMPLIN,2961,87.42,0.504,12.7,15.225,4.0,1,0.561
1,C SH,SHRIMPLIN,2961.5,84.11,0.507,12.5,15.12,4.0,1,0.544
1,C SH,SHRIMPLIN,2962,87.26,0.509,12.0,15.145,3.9,1,0.526
1,C SH,SHRIMPLIN,2962.5,84.87,0.511,12.0,14.82,3.9,1,0.509
1,C SH,SHRIMPLIN,2963,84.88,0.507,11.3,14.335,3.9,1,0.491
1,C SH,SHRIMPLIN,2963.5,88.37,0.493,10.5,15.695,4.2,1,0.474
1,C SH,SHRIMPLIN,2964,90.68,0.48,11.1,18.01,4.2,1,0.456
1,C SH,SHRIMPLIN,2964.5,94.56,0.471,12.3,20.75,3.9,1,0.439
1,C SH,SHRIMPLIN,2965,96.31,0.462,15.0,22.025,3.6,1,0.421
1,C SH,SHRIMPLIN,2965.5,99.42,0.456,17.2,22.97,3.4,1,0.404
1,C SH,SHRIMPLIN,2966,97.55,0.453,16.7,22.12,3.4,1,0.386
1,C SH,SHRIMPLIN,2966.5,98.51,0.45,15.3,20.35,3.6,1,0.368
0,C SH,SHRIMPLIN,2967,86.18,0.452,13.5,17.53,3.7,1,0.351
0,C SH,SHRIMPLIN,2967.5,89.44,0.461,12.2,16.31,3.8,1,0.333
0,C SH,SHRIMPLIN,2968,89.13,0.471,11.7,15.875,3.9,1,0.316
0,C SH,SHRIMPLIN,2968.5,87.64,0.484,12.1,15.865,3.8,1,0.298
0,C SH,SHRIMPLIN,2969,84.34,0.502,12.3,15.685,3.9,1,0.281
0,C SH,SHRIMPLIN,2969.5,83.26,0.517,12.3,15.23,3.8,1,0.263
0,C SH,SHRIMPLIN,2970,84.8,0.525,12.5,14.78,4.0,1,0.246
0,C SH,SHRIMPLIN,2970.5,84.02,0.531,10.8,15.47,3.9,1,0.228
1,C SH,SHRIMPLIN,2971,90.99,0.535,10.9,15.235,3.9,1,0.211
1,C SH,SHRIMPLIN,2971.5,83.72,0.537,11.4,14.25,3.9,1,0.193
1,C SH,SHRIMPLIN,2972,81.44,0.538,10.9,14.015,4.0,1,0.175
1,C SH,SHRIMPLIN,2972.5,80.51,0.538,10.1,14.465,3.9,1,0.158
1,C SH,SHRIMPLIN,2973,83.93,0.539,10.0,15.11,3.8,1,0.14
1,C SH,SHRIMPLIN,2973.5,83.36,0.535,10.1,15.73,3.7,1,0.123
1,C SH,SHRIMPLIN,2974,86.69,0.529,10.9,15.115,3.8,1,0.105
1,C SH,SHRIMPLIN,2974.5,86.71,0.521,10.6,13.995,3.7,1,0.088
1,C SH,SHRIMPLIN,2975,84.91,0.515,11.0,14.065,3.9,1,0.07
1,C SH,SHRIMPLIN,2975.5,84.75,0.516,13.6,20,3.7,1,0.053
1,C SH,SHRIMPLIN,2976,87.88,0.543,16.2,23.385,3.6,1,0.035
1,C SH,SHRIMPLIN,2976.5,86.06,0.584,15.0,20.82,3.3,1,0.018
1,A1 SH,ALEXANDER D,2887.5,88.71,0.612,6.7,10.605,,1,1
1,A1 SH,ALEXANDER D,2888,92.71,0.583,11.0,12.515,,1,0.974
1,A1 SH,ALEXANDER D,2888.5,94.54,0.579,12.0,13.41,,1,0.949
1,A1 SH,ALEXANDER D,2889,95.31,0.579,11.5,13.75,,1,0.923
1,A1 SH,ALEXANDER D,2889.5,93.79,0.572,10.3,13.405,,1,0.897
1,A1 SH,ALEXANDER D,2890,86,0.547,9.7,12.92,,1,0.872
1,A1 SH,ALEXANDER D,2890.5,83.66,0.531,9.9,12.75,,1,0.846
0,A1 SH,ALEXANDER D,2891,84.96,0.516,10.0,12.71,,1,0.821
0,A1 SH,ALEXANDER D,2891.5,88.93,0.515,9.4,13.51,,1,0.795
1,A1 SH,ALEXANDER D,2892,91.35,0.521,7.4,15.33,,1,0.769
1,A1 SH,ALEXANDER D,2892.5,92.43,0.521,7.4,16.65,,1,0.744
1,A1 SH,ALEXANDER D,2893,92.39,0.526,7.6,16.89,,1,0.718
0,A1 SH,ALEXANDER D,2893.5,91.94,0.526,4.6,16.31,,1,0.692
0,A1 SH,ALEXANDER D,2894,88.21,0.525,2.9,15.33,,1,0.667
0,A1 SH,ALEXANDER D,2894.5,83.2,0.524,1.9,14.215,,1,0.641
0,A1 SH,ALEXANDER D,2895,78.23,0.513,3.0,13.495,,1,0.615
0,A1 SH,ALEXANDER D,2895.5,74.22,0.5,5.0,11.365,,1,0.59
0,A1 SH,ALEXANDER D,2896,72.36,0.48,6.6,10.045,,1,0.564
0,A1 SH,ALEXANDER D,2896.5,72.84,0.465,7.2,9.62,,1,0.538
0,A1 SH,ALEXANDER D,2897,74.19,0.455,8.0,9.64,,1,0.513
0,A1 SH,ALEXANDER D,2897.5,76.62,0.449,8.8,10.5,,1,0.487
0,A1 SH,ALEXANDER D,2898,81.29,0.449,9.2,12.785,,1,0.462
0,A1 SH,ALEXANDER D,2898.5,85.5,0.461,9.9,13.55,,1,0.436
0,A1 SH,ALEXANDER D,2899,88.29,0.476,10.3,13.985,,1,0.41
0,A1 SH,ALEXANDER D,2899.5,91.3,0.484,9.7,13.965,,1,0.385
1,A1 SH,ALEXANDER D,2900,82,0.49,8.3,13.335,,1,0.359
1,A1 SH,ALEXANDER D,2900.5,71.62,0.49,7.5,12.88,,1,0.333
0,A1 SH,ALEXANDER D,2901,67.4,0.483,7.2,12.685,,1,0.308
1,A1 SH,ALEXANDER D,2901.5,65.4,0.476,7.5,12.325,,1,0.282
1,A1 SH,ALEXANDER D,2904,81.89,0.42,16.3,19.14,,1,0.154
1,A1 SH,ALEXANDER D,2904.5,83.53,0.371,14.9,19.16,,1,0.128
0,A1 SH,ALEXANDER D,2905,83.06,0.316,14.8,19.5,,1,0.103
0,A1 SH,ALEXANDER D,2905.5,81.58,0.279,15.7,19.945,,1,0.077
1,A1 SH,ALEXANDER D,2906,77.83,0.272,17.3,19.285,,1,0.051
1,A1 SH,ALEXANDER D,2906.5,65.11,0.279,15.2,17.42,,1,0.026
1,B1 SH,ALEXANDER D,2939.5,78.58,0.717,8.4,12.53,,1,1
1,B1 SH,ALEXANDER D,2940,81.81,0.717,8.6,15.21,,1,0.969
1,B1 SH,ALEXANDER D,2940.5,82.02,0.716,4.5,15.43,,1,0.938
0,B1 SH,ALEXANDER D,2941,75.3,0.722,4.9,13.615,,1,0.906
0,B1 SH,ALEXANDER D,2941.5,66.45,0.722,6.8,12.37,,1,0.875
0,B1 SH,ALEXANDER D,2942,63.91,0.722,7.4,11.865,,1,0.844
0,B1 SH,ALEXANDER D,2942.5,64.11,0.721,7.9,11.92,,1,0.813
0,B1 SH,ALEXANDER D,2943,66.41,0.721,9.0,12.185,,1,0.781
1,B1 SH,ALEXANDER D,2943.5,72.43,0.721,9.9,12.38,,1,0.75
1,B1 SH,ALEXANDER D,2944,75.89,0.714,9.6,12.83,,1,0.719
1,B1 SH,ALEXANDER D,2944.5,79.81,0.708,8.2,13.335,,1,0.688
1,B1 SH,ALEXANDER D,2945,81.22,0.702,7.2,12.765,,1,0.656
1,B1 SH,ALEXANDER D,2945.5,80.73,0.689,7.2,12.065,,1,0.625
1,B1 SH,ALEXANDER D,2946,80.21,0.679,7.3,11.605,,1,0.594
0,B1 SH,ALEXANDER D,2946.5,79.31,0.667,7.5,11.49,,1,0.563
0,B1 SH,ALEXANDER D,2947,77.91,0.655,7.2,11.755,,1,0.531
0,B1 SH,ALEXANDER D,2947.5,75.57,0.641,6.6,11.25,,1,0.5
0,B1 SH,ALEXANDER D,2948,72.63,0.625,5.8,10.46,,1,0.469
0,B1 SH,ALEXANDER D,2948.5,69.14,0.607,5.6,10.285,,1,0.438
0,B1 SH,ALEXANDER D,2949,65.21,0.589,4.7,10.23,,1,0.406
0,B1 SH,ALEXANDER D,2949.5,60.86,0.571,4.0,10.185,,1,0.375
