DeltaPHI,DeltaPHI_diff,Depth,Facies,Formation,GR,GR_diff,ILD_log10,ILD_log10_diff,NM_M,NM_M_diff,PE,PE_diff,PHIND,PHIND_diff,RELPOS,RELPOS_diff,Well Name
2.0,-0.8999999999999999,2839.5,6,A1 LM,78.55,17.759999999999998,0.754,-0.07500000000000007,2,0,5.7,0.20000000000000018,9.795,5.435,0.019,-0.018000000000000006,SHRIMPLIN
1.8,-0.19999999999999996,2840.0,3,B1 SH,107.77,29.22,0.713,-0.041000000000000036,1,-1,4.0,-1.7000000000000002,19.545,9.750000000000002,1.0,0.981,SHRIMPLIN
6.0,4.2,2840.5,3,B1 SH,110.87,3.1000000000000085,0.6859999999999999,-0.027000000000000024,1,0,3.3,-0.7000000000000002,26.65,7.104999999999997,0.9740000000000001,-0.025999999999999912,SHRIMPLIN
8.6,2.5999999999999996,2841.0,3,B1 SH,106.33,-4.540000000000006,0.665,-0.020999999999999908,1,0,2.8,-0.5,26.94,0.2900000000000027,0.9490000000000001,-0.025000000000000022,SHRIMPLIN
9.6,1.0,2841.5,3,B1 SH,87.85,-18.480000000000004,0.64,-0.025000000000000022,1,0,2.7,-0.09999999999999964,21.77,-5.170000000000002,0.9229999999999999,-0.026000000000000134,SHRIMPLIN
9.0,-0.5999999999999996,2842.0,3,B1 SH,80.96,-6.890000000000001,0.601,-0.039000000000000035,1,0,2.9,0.19999999999999973,15.99,-5.779999999999999,0.897,-0.025999999999999912,SHRIMPLIN
11.2,2.1999999999999993,2842.5,2,B1 SH,66.94,-14.019999999999996,0.568,-0.03300000000000003,1,0,3.5,0.6000000000000001,12.565,-3.4250000000000007,0.872,-0.025000000000000022,SHRIMPLIN
12.0,0.8000000000000007,2843.0,2,B1 SH,61.48,-5.460000000000001,0.561,-0.006999999999999895,1,0,4.2,0.7000000000000002,11.69,-0.875,0.846,-0.026000000000000023,SHRIMPLIN
12.4,0.40000000000000036,2843.5,2,B1 SH,58.26,-3.219999999999999,0.568,0.006999999999999895,1,0,4.2,0.0,12.285,0.5950000000000006,0.821,-0.025000000000000022,SHRIMPLIN
12.7,0.29999999999999893,2844.0,2,B1 SH,51.31,-6.949999999999996,0.585,0.017000000000000015,1,0,3.9,-0.30000000000000027,11.735,-0.5500000000000007,0.795,-0.025999999999999912,SHRIMPLIN
13.2,0.5,2844.5,2,B1 SH,67.92,16.61,0.583,-0.0020000000000000018,1,0,3.9,0.0,11.73,-0.004999999999999005,0.769,-0.026000000000000023,SHRIMPLIN
14.1,0.9000000000000004,2845.0,2,B1 SH,67.77,-0.15000000000000568,0.5660000000000001,-0.016999999999999904,1,0,3.9,0.0,12.475,0.7449999999999992,0.7440000000000001,-0.02499999999999991,SHRIMPLIN
14.4,0.3000000000000007,2845.5,2,B1 SH,67.73,-0.03999999999999204,0.5429999999999999,-0.02300000000000013,1,0,3.8,-0.10000000000000009,13.095,0.620000000000001,0.718,-0.026000000000000134,SHRIMPLIN
12.1,-2.3000000000000007,2846.0,2,B1 SH,68.85,1.1199999999999903,0.516,-0.026999999999999913,1,0,3.7,-0.09999999999999964,13.35,0.254999999999999,0.6920000000000001,-0.025999999999999912,SHRIMPLIN
9.7,-2.4000000000000004,2846.5,2,B1 SH,73.2,4.3500000000000085,0.496,-0.020000000000000018,1,0,3.6,-0.10000000000000009,15.12,1.7699999999999996,0.667,-0.025000000000000022,SHRIMPLIN
6.1,-3.5999999999999996,2847.0,3,B1 SH,84.46,11.259999999999991,0.486,-0.010000000000000009,1,0,3.6,0.0,20.48,5.360000000000001,0.6409999999999999,-0.026000000000000134,SHRIMPLIN
7.0,0.9000000000000004,2847.5,3,B1 SH,96.96,12.5,0.483,-0.0030000000000000027,1,0,3.4,-0.20000000000000018,23.225,2.745000000000001,0.615,-0.025999999999999912,SHRIMPLIN
9.4,2.4000000000000004,2848.0,3,B1 SH,95.54,-1.4199999999999875,0.486,0.0030000000000000027,1,0,3.5,0.10000000000000009,21.305,-1.9200000000000017,0.59,-0.025000000000000022,SHRIMPLIN
13.2,3.799999999999999,2848.5,3,B1 SH,88.67,-6.8700000000000045,0.493,0.007000000000000006,1,0,3.4,-0.10000000000000009,17.235,-4.07,0.564,-0.026000000000000023,SHRIMPLIN
13.1,-0.09999999999999964,2849.0,3,B1 SH,88.54,-0.12999999999999545,0.501,0.008000000000000007,1,0,3.5,0.10000000000000009,16.71,-0.5249999999999986,0.5379999999999999,-0.026000000000000023,SHRIMPLIN
11.2,-1.9000000000000004,2849.5,3,B1 SH,92.22,3.6799999999999926,0.501,0.0,1,0,3.5,0.0,18.675,1.9649999999999999,0.513,-0.02499999999999991,SHRIMPLIN
4.9,-6.299999999999999,2850.0,2,B1 SH,89.67,-2.549999999999997,0.491,-0.010000000000000009,1,0,3.3,-0.20000000000000018,20.405,1.7300000000000004,0.48700000000000004,-0.025999999999999968,SHRIMPLIN
2.2,-2.7,2850.5,2,B1 SH,91.17,1.5,0.47,-0.02100000000000002,1,0,3.1,-0.19999999999999973,20.3,-0.10500000000000043,0.462,-0.025000000000000022,SHRIMPLIN
5.1,2.8999999999999995,2851.0,2,B1 SH,83.62,-7.549999999999997,0.435,-0.034999999999999976,1,0,2.8,-0.30000000000000027,17.16,-3.1400000000000006,0.436,-0.026000000000000023,SHRIMPLIN
8.3,3.200000000000001,2851.5,2,B1 SH,85.0,1.3799999999999955,0.401,-0.033999999999999975,1,0,2.8,0.0,15.87,-1.290000000000001,0.41,-0.026000000000000023,SHRIMPLIN
7.5,-0.8000000000000007,2852.0,2,B1 SH,77.7,-7.299999999999997,0.371,-0.030000000000000027,1,0,2.9,0.10000000000000009,16.85,0.9800000000000022,0.385,-0.024999999999999967,SHRIMPLIN
6.1,-1.4000000000000004,2852.5,2,B1 SH,74.29,-3.4099999999999966,0.33399999999999996,-0.03700000000000003,1,0,2.9,0.0,17.3,0.4499999999999993,0.359,-0.026000000000000023,SHRIMPLIN
5.4,-0.6999999999999993,2853.0,2,B1 SH,70.21,-4.0800000000000125,0.307,-0.02699999999999997,1,0,2.9,0.0,17.57,0.2699999999999996,0.33299999999999996,-0.026000000000000023,SHRIMPLIN
4.7,-0.7000000000000002,2853.5,2,B1 SH,76.38,6.170000000000002,0.297,-0.010000000000000009,1,0,3.0,0.10000000000000009,17.195,-0.375,0.308,-0.024999999999999967,SHRIMPLIN
4.4,-0.2999999999999998,2854.0,2,B1 SH,76.28,-0.09999999999999432,0.301,0.0040000000000000036,1,0,3.0,0.0,16.415,-0.7800000000000011,0.282,-0.026000000000000023,SHRIMPLIN
4.1,-0.3000000000000007,2854.5,2,B1 SH,69.04,-7.239999999999995,0.314,0.013000000000000012,1,0,3.2,0.20000000000000018,14.19,-2.2249999999999996,0.256,-0.025999999999999968,SHRIMPLIN
5.8,1.7000000000000002,2855.0,2,B1 SH,78.11,9.069999999999993,0.33799999999999997,0.023999999999999966,1,0,3.4,0.19999999999999973,13.25,-0.9399999999999995,0.231,-0.024999999999999994,SHRIMPLIN
6.8,1.0,2855.5,3,B1 SH,84.18,6.070000000000007,0.377,0.039000000000000035,1,0,3.8,0.3999999999999999,15.72,2.4700000000000006,0.205,-0.026000000000000023,SHRIMPLIN
6.6,-0.20000000000000018,2856.0,3,B1 SH,85.85,1.6699999999999875,0.428,0.05099999999999999,1,0,3.5,-0.2999999999999998,20.045,4.325000000000001,0.179,-0.025999999999999995,SHRIMPLIN
4.4,-2.1999999999999993,2856.5,3,B1 SH,89.6,3.75,0.47,0.04199999999999998,1,0,3.3,-0.20000000000000018,20.455,0.4099999999999966,0.154,-0.024999999999999994,SHRIMPLIN
3.6,-0.8000000000000003,2857.0,3,B1 SH,80.61,-8.989999999999995,0.509,0.039000000000000035,1,0,3.1,-0.19999999999999973,16.78,-3.674999999999997,0.128,-0.025999999999999995,SHRIMPLIN
7.5,3.9,2857.5,3,B1 SH,79.36,-1.25,0.539,0.030000000000000027,1,0,3.3,0.19999999999999973,11.78,-5.000000000000002,0.10300000000000001,-0.024999999999999994,SHRIMPLIN
